starttime,activebuyquotevolume,activebuyvolume,close,endtime,eventtime,eventtype,firsttradeid,high,ignoreparam,interval,isfinal,lasttradeid,low,open,quotevolume,symbol,tradenum,volume,vrb_basis_24,vrb_stdev_24,vrb_bb_upper,vrb_bb_lower,vrb_atr_24,vrb_atr_band,vrb_reversal_upper,vrb_reversal_lower,vrb_long_signal,vrb_short_signal,vrb_ratio,vrb_ratio_clamped,vrb_near_upper,vrb_near_lower,st_line,st_dir,st_up,st_dn,st_buy,st_sell
2023-08-05 16:00:00,18276911.7326549,628.96353,29067.35,1691265599999,1691251200000,kline,0,29099.0,-3689348814741910324,4h,True,0,29009.37,29041.49,37590070.8106629,BTCUSDT,53854,1293.61863,29229.59375,192.95718220658162,29711.986705516454,28747.200794483546,230.84068148389304,230.84068148389304,29942.827387000347,28516.360112999653,False,False,0.38626184914500705,0.38626184914500705,False,False,34545.94713049814,1,34545.94713049814,23562.892869501855,False,False
2023-08-05 20:00:00,13223094.2281261,454.86417,29072.13,1691279999999,1691265600000,kline,0,29092.38,-3689348814741910324,4h,True,0,29052.5,29067.36,27962063.3605505,BTCUSDT,43220,961.85055,29203.18291666667,167.66534807663697,29622.34628685826,28784.019546475076,222.88398642206423,222.88398642206423,29845.230273280325,28561.13556005301,False,False,0.39794139379540605,0.39794139379540605,False,False,34288.005273973235,1,34288.005273973235,23851.47472602676,False,False
2023-08-06 00:00:00,24576443.6624642,845.73289,29063.99,1691294399999,1691280000000,kline,0,29078.95,-3689348814741910324,4h,True,0,29036.0,29072.13,50283921.494339,BTCUSDT,45656,1730.38101,29179.475833333334,143.73844333014304,29538.82194165869,28820.129725007977,215.3867369878116,215.3867369878116,29754.2086786465,28604.742988020167,False,False,0.3995308565752797,0.3995308565752797,False,False,34027.65051027457,1,34027.65051027457,24108.46948972543,False,False
2023-08-06 04:00:00,38682473.3297542,1330.36591,29092.68,1691308799999,1691294400000,kline,0,29107.48,-3689348814741910324,4h,True,0,29045.96,29064.0,74279462.1142289,BTCUSDT,48528,2554.57467,29159.285,118.21149154517174,29454.81372886293,28863.75627113707,208.9756229466528,208.9756229466528,29663.78935180958,28654.78064819042,False,False,0.4339896675211051,0.4339896675211051,False,False,33797.83573476084,1,33797.83573476084,24358.834265239155,False,False
2023-08-06 08:00:00,29496247.5945554,1014.04066,29078.01,1691323199999,1691308800000,kline,0,29142.0,-3689348814741910324,4h,True,0,29047.82,29092.68,63230097.5065683,BTCUSDT,53361,2173.81719,29139.09833333333,84.06998050566786,29349.2732845975,28928.923382069162,204.19247199054226,204.19247199054226,29553.465756588044,28724.73091007862,False,False,0.4262872394100079,0.4262872394100079,False,False,33572.904948022806,1,33572.904948022806,24597.7850519772,False,False
2023-08-06 12:00:00,31259957.8959005,1076.7414,29012.93,1691337599999,1691323200000,kline,0,29078.01,-3689348814741910324,4h,True,0,28991.88,29078.01,74759996.8904309,BTCUSDT,68580,2574.91787,29126.24541666667,78.61988997593252,29322.7951416065,28929.695691726836,199.27320232426953,199.27320232426953,29522.06834393077,28730.42248940257,False,False,0.3568609738578103,0.3568609738578103,False,False,33326.54895062166,1,33326.54895062166,24764.39104937834,False,False
2023-08-06 16:00:00,20994830.7550531,722.23701,29088.0,1691351999999,1691337600000,kline,0,29102.91,-3689348814741910324,4h,True,0,29000.52,29012.92,40497578.9299877,BTCUSDT,51992,1393.09127,29123.59708333333,78.79288411606588,29320.579293623494,28926.614873043167,195.23640222742495,195.23640222742495,29515.815695850917,28731.378470815744,False,False,0.45462086423584214,0.45462086423584214,False,False,33138.134253090575,1,33138.134253090575,24962.79574690942,False,False
2023-08-06 20:00:00,43182990.4584896,1482.127,29088.42,1691366399999,1691352000000,kline,0,29205.09,-3689348814741910324,4h,True,0,29038.13,29088.0,80158441.9421957,BTCUSDT,70537,2751.41519,29119.530833333334,77.98100083336794,29314.483335416753,28924.578331249915,194.0582188012822,194.0582188012822,29508.541554218034,28730.520112448634,False,False,0.46001288439739824,0.46001288439739824,False,False,32971.61129043605,1,32971.61129043605,25204.80870956395,False,False
2023-08-07 00:00:00,55812835.2113286,1915.45191,29162.67,1691380799999,1691366400000,kline,0,29229.62,-3689348814741910324,4h,True,0,29018.25,29088.43,101094724.3882604,BTCUSDT,78820,3469.1155,29118.719583333335,77.42473783613723,29312.281427923677,28925.157738742993,194.7795430178954,194.7795430178954,29507.060970941573,28730.378195725098,False,False,0.5565873456565497,0.5565873456565497,False,False,32835.194975914244,1,32835.194975914244,25415.895024085752,False,False
2023-08-07 04:00:00,44954944.0375107,1543.14891,29094.09,1691395199999,1691380800000,kline,0,29197.82,-3689348814741910324,4h,True,0,29050.77,29162.66,91799906.3501588,BTCUSDT,67554,3151.67245,29120.79958333333,76.05242246192982,29310.930639488153,28930.668527178506,192.7908120588164,192.7908120588164,29503.72145154697,28737.87771511969,False,False,0.46512397756501633,0.46512397756501633,False,False,32671.40697711853,1,32671.40697711853,25585.353022881463,False,False
