starttime,close,high,interval,low,open,quotevolume,symbol,tradenum,volume,vrb_bb_upper,vrb_bb_lower,st_line,st_dir,st_up,st_dn
2023-08-12 12:00:00,29438.81,29458.1,4h,29408.28,29429.85,40919589.6396287,BTCUSDT,55882,1390.34294,29950.36190132425,29131.967265342413,30388.459588162412,1,30388.459588162412,28480.20041183759
2023-08-12 16:00:00,29416.16,29481.35,4h,29411.58,29438.81,37200210.8443598,BTCUSDT,53400,1263.44937,29893.79448424099,29149.528015759013,30340.13685875429,1,30340.13685875429,28514.833141245712
2023-08-12 20:00:00,29430.17,29433.16,4h,29400.0,29416.17,24569770.5042115,BTCUSDT,41452,835.07242,29858.61376257198,29156.354570761352,30294.037015816575,1,30294.037015816575,28552.292984183427
2023-08-13 00:00:00,29418.56,29455.21,4h,29400.0,29430.18,34398391.3052007,BTCUSDT,40087,1168.69051,29831.345534694523,29158.835298638816,30254.886165025742,1,30254.886165025742,28593.843834974254
2023-08-13 04:00:00,29396.36,29418.57,4h,29363.0,29418.56,53971102.6664091,BTCUSDT,49322,1836.11114,29771.670218223397,29183.37394844327,30202.560106774457,1,30202.560106774457,28612.35989322554
2023-08-13 08:00:00,29383.38,29416.53,4h,29375.49,29396.37,54548998.4240517,BTCUSDT,51700,1855.11829,29661.709600086317,29251.25623324701,30148.78460143574,1,30148.78460143574,28630.955398564267
2023-08-13 12:00:00,29374.2,29393.76,4h,29362.0,29383.39,44302679.0423232,BTCUSDT,59647,1507.97478,29574.471643119767,29306.202523546905,30102.28337136395,1,30102.28337136395,28655.296628636053
2023-08-13 16:00:00,29442.91,29474.65,4h,29328.21,29374.19,70595529.0184146,BTCUSDT,69122,2401.6459,29574.995441011808,29307.902892321516,30102.28337136395,1,30102.28337136395,28702.34104720425
2023-08-13 20:00:00,29303.84,29446.0,4h,29272.32,29442.91,68447924.7732831,BTCUSDT,71848,2332.16885,29559.40788382528,29300.31128284139,30082.52250515596,1,30082.52250515596,28702.34104720425
2023-08-14 00:00:00,29399.91,29429.95,4h,29102.45,29303.85,273941694.3648244,BTCUSDT,152585,9359.80818,29525.087242458238,29319.405257541755,30051.984379898164,1,30051.984379898164,28702.34104720425
2023-08-14 04:00:00,29422.01,29469.63,4h,29392.6,29399.91,87883582.224081,BTCUSDT,75256,2986.60563,29510.096695854434,29326.89663747889,30051.984379898164,1,30051.984379898164,28739.778589096743
2023-08-14 08:00:00,29409.99,29495.76,4h,29383.63,29422.01,93211177.051045,BTCUSDT,84275,3167.54657,29494.636569222403,29334.521764110923,30051.984379898164,1,30051.984379898164,28775.072159641906
2023-08-14 12:00:00,29599.99,29672.0,4h,29332.61,29410.0,210585646.3150054,BTCUSDT,156142,7136.81271,29540.48748934647,29299.83667732019,30051.984379898164,1,30051.984379898164,28843.858551659814
2023-08-14 16:00:00,29360.54,29695.32,4h,29257.0,29600.0,202168769.9050666,BTCUSDT,144457,6860.28114,29539.841231578503,29293.484601754833,30051.984379898164,1,30051.984379898164,28843.858551659814
2023-08-14 20:00:00,29430.93,29471.31,4h,29338.12,29360.54,56822606.8217766,BTCUSDT,58877,1932.06109,29537.371741608713,29293.885758391294,30051.984379898164,1,30051.984379898164,28843.858551659814
2023-08-15 00:00:00,29402.01,29454.23,4h,29371.99,29430.92,87878320.6647411,BTCUSDT,60362,2988.63804,29537.13519499428,29293.28980500573,30051.984379898164,1,30051.984379898164,28843.858551659814
2023-08-15 04:00:00,29408.84,29435.02,4h,29351.33,29402.0,110460453.2386865,BTCUSDT,71983,3759.31138,29536.819156755268,29292.902509911404,30027.281286900885,1,30027.281286900885,28843.858551659814
2023-08-15 08:00:00,29366.0,29457.44,4h,29358.0,29408.83,135027189.0906736,BTCUSDT,83153,4590.74949,29534.713205159445,29288.345128173896,29989.96447255584,1,29989.96447255584,28843.858551659814
2023-08-15 12:00:00,29332.66,29499.26,4h,29315.0,29365.99,162175058.337881,BTCUSDT,121259,5517.77561,29538.0731957471,29279.715970919577,29930.91574892805,1,29930.91574892805,28843.858551659814
2023-08-15 16:00:00,29181.73,29369.23,4h,29059.6,29332.67,227279189.9602984,BTCUSDT,169052,7775.93801,29571.939449736477,29227.930550263525,29851.207211481647,1,29851.207211481647,28843.858551659814
2023-08-15 20:00:00,29200.0,29243.08,4h,29135.81,29181.73,83863746.017735,BTCUSDT,85353,2871.46438,29588.66788442396,29192.36628224271,29760.200850907564,1,29760.200850907564,28843.858551659814
2023-08-16 00:00:00,29228.51,29259.85,4h,29184.96,29200.01,104912654.0828324,BTCUSDT,76240,3589.09589,29597.14775227687,29169.42308105647,29760.200850907564,1,29760.200850907564,28843.858551659814
2023-08-16 04:00:00,29197.67,29235.54,4h,29111.0,29228.51,125280706.2258228,BTCUSDT,85235,4292.06725,29605.876775864654,29142.042390802013,29742.844842944072,1,29742.844842944072,28843.858551659814
2023-08-16 08:00:00,29164.67,29216.46,4h,29100.0,29197.67,124181107.9001967,BTCUSDT,90224,4256.97828,29615.132322258472,29110.68851107486,29693.51210079687,1,29693.51210079687,28843.858551659814
2023-08-16 12:00:00,29106.55,29211.34,4h,29047.09,29164.67,164084962.4780979,BTCUSDT,151644,5632.45835,29628.409354985113,29069.723145014887,29638.31799575703,1,29638.31799575703,28843.858551659814
2023-08-16 16:00:00,29111.7,29235.0,4h,28956.0,29106.55,197189705.69332913,BTCUSDT,161991,6779.88052,29637.257565987253,29035.50326734608,29588.11384596918,1,29588.11384596918,28843.858551659814
2023-08-16 20:00:00,28730.51,29139.99,4h,28723.08,29111.69,244221610.62603527,BTCUSDT,202694,8446.21825,29729.74195248993,28884.713880843403,29480.97165367072,1,29480.97165367072,28843.858551659814
2023-08-17 00:00:00,28657.31,28783.48,4h,28342.0,28730.51,289770909.2765373,BTCUSDT,212234,10139.13995,29803.714192995852,28747.30414033748,29245.913320987183,1,29245.913320987183,28141.906679012816
2023-08-17 04:00:00,28621.99,28706.31,4h,28601.87,28657.3,109721061.086011,BTCUSDT,93529,3829.77192,29859.61314300721,28626.874356992786,29173.766154937824,1,29173.766154937824,28141.906679012816
2023-08-17 08:00:00,28545.11,28635.3,4h,28483.89,28622.0,164591576.8225171,BTCUSDT,125556,5762.14855,29911.236203109085,28505.39546355759,29112.102347190936,1,29112.102347190936,28141.906679012816
2023-08-17 12:00:00,27934.02,28573.55,4h,27888.0,28545.1,540583025.9414365,BTCUSDT,358457,19119.98745,30090.273169561835,28206.343497104826,28909.739479831387,1,28909.739479831387,28141.906679012816
2023-08-17 16:00:00,27894.01,28089.78,4h,27700.0,27934.02,404372083.73756486,BTCUSDT,255876,14489.295,30201.074997240008,27966.466669426656,28561.683505839817,1,28561.683505839817,27266.34649416018
2023-08-17 20:00:00,26623.41,27920.23,4h,25166.0,27894.0,1246782617.476538,BTCUSDT,930925,46931.19746,30625.62709151968,27318.545408480313,28223.410080547827,1,28223.410080547827,27266.34649416018
2023-08-18 00:00:00,26398.0,26832.6,4h,26321.18,26623.41,312556210.7405368,BTCUSDT,247444,11747.28054,30924.084372526664,26769.928960806672,27489.157826520437,1,27489.157826520437,25532.252173479566
2023-08-18 04:00:00,26429.99,26610.0,4h,26157.71,26397.99,353339712.3938176,BTCUSDT,265276,13379.28911,31099.808276699943,26344.870056633394,27352.322435194415,1,27352.322435194415,25532.252173479566
2023-08-18 08:00:00,26494.0,26609.65,4h,26381.6,26430.0,222588626.7093702,BTCUSDT,177118,8403.77999,31195.07398492268,26006.605181743987,27352.322435194415,1,27352.322435194415,25552.98118656531
2023-08-18 12:00:00,26002.0,26500.0,4h,25931.95,26494.0,377955308.5166901,BTCUSDT,232941,14426.63632,31294.94432029064,25606.90234637603,27246.86312276296,1,27246.86312276296,25552.98118656531
2023-08-18 16:00:00,26065.01,26313.33,4h,25619.0,26001.99,428253410.6762607,BTCUSDT,254739,16489.27194,31352.94917582092,25274.26999084575,26999.752716624807,1,26999.752716624807,25552.98118656531
2023-08-18 20:00:00,26054.0,26243.8,4h,26006.01,26065.01,139526254.6627286,BTCUSDT,115604,5344.39921,31353.845344431833,24991.962988901494,26980.468080793566,1,26980.468080793566,25552.98118656531
2023-08-19 00:00:00,25967.51,26154.57,4h,25924.0,26054.0,104092746.8524118,BTCUSDT,100063,3998.46404,31325.79568612717,24733.804313872828,26909.45467675389,1,26909.45467675389,25552.98118656531
2023-08-19 04:00:00,25917.99,26009.18,4h,25801.09,25967.51,115373228.1001558,BTCUSDT,109165,4454.75935,31260.36685973518,24508.328973598153,26810.132692916195,1,26810.132692916195,25552.98118656531
2023-08-19 08:00:00,25900.08,25999.01,4h,25884.0,25918.0,104342587.3623043,BTCUSDT,100431,4023.9561,31163.501657368215,24316.36750929845,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-19 12:00:00,26216.01,26226.04,4h,25872.06,25900.07,158884102.9631817,BTCUSDT,121988,6106.37301,31010.01130667933,24210.137026653993,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-19 16:00:00,26125.62,26281.0,4h,26026.96,26216.01,133419785.2637724,BTCUSDT,113960,5104.24597,30857.470114860495,24108.0023851395,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-19 20:00:00,26100.01,26156.0,4h,26033.16,26125.61,64511430.2829294,BTCUSDT,70157,2472.95496,30672.37787226694,24034.76212773305,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 00:00:00,26105.24,26207.88,4h,26046.4,26100.01,69487428.7227796,BTCUSDT,71082,2661.66837,30448.17946837339,23998.688031626603,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 04:00:00,26088.44,26160.16,4h,26047.41,26105.23,76091628.4102295,BTCUSDT,62699,2915.3072,30194.617443527626,23993.14755647238,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 08:00:00,26176.7,26198.72,4h,26058.98,26088.44,79348676.0244575,BTCUSDT,77527,3036.61074,29905.374672113016,24033.39282788698,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 12:00:00,26106.83,26217.52,4h,25971.05,26176.69,115581449.1021688,BTCUSDT,96966,4427.24407,29587.879806619676,24100.911026713664,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 16:00:00,26137.25,26162.34,4h,26002.51,26106.83,64105428.5757241,BTCUSDT,68973,2456.00338,29214.896424043316,24226.02357595669,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-20 20:00:00,26189.99,26299.0,4h,26137.25,26137.25,93266141.3947563,BTCUSDT,74296,3560.07833,28889.09377477176,24340.116225228237,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-21 00:00:00,26090.66,26195.12,4h,26070.0,26190.0,78754069.1983016,BTCUSDT,68234,3015.05087,28529.215439287258,24486.107060712744,26737.973808270388,1,26737.973808270388,25552.98118656531
2023-08-21 04:00:00,26023.34,26189.04,4h,26000.0,26090.66,106662504.1364568,BTCUSDT,81928,4091.24604,28105.352787695032,24693.41554563831,26704.413957053697,1,26704.413957053697,25552.98118656531
2023-08-21 08:00:00,26031.6,26088.32,4h,25880.2,26023.33,150844129.4358604,BTCUSDT,103262,5803.825,27590.034002131164,24999.27516453551,26644.78475920101,1,26644.78475920101,25552.98118656531
2023-08-21 12:00:00,25939.59,26198.89,4h,25812.0,26031.61,241493524.3110048,BTCUSDT,149397,9288.78777,27195.322970385103,25227.783696281564,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-21 16:00:00,26097.74,26164.0,4h,25937.6,25939.59,130097488.5259807,BTCUSDT,95286,4995.45618,26582.818766344844,25690.59873365516,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-21 20:00:00,26126.92,26258.42,4h,26082.25,26097.73,80353440.7139881,BTCUSDT,67880,3072.87647,26483.005823530613,25749.03750980272,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-22 00:00:00,26055.99,26139.42,4h,26025.54,26126.92,71950659.19825,BTCUSDT,57479,2759.8298,26438.87724751146,25764.665252488543,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-22 04:00:00,26106.69,26117.28,4h,26000.0,26056.0,70479380.1247282,BTCUSDT,61267,2705.6774,26378.917964732776,25797.682868600554,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-22 08:00:00,26049.64,26112.44,4h,26027.22,26106.69,74146091.9068211,BTCUSDT,61702,2844.91271,26269.391811904894,25870.179021428437,26597.346771240962,1,26597.346771240962,25552.98118656531
2023-08-22 12:00:00,25936.61,26100.23,4h,25914.03,26049.63,132226073.372457,BTCUSDT,97186,5083.53852,26274.951208080645,25859.17045858602,26558.30188287213,1,26558.30188287213,25552.98118656531
2023-08-22 16:00:00,25779.99,26054.73,4h,25726.29,25936.62,265341134.1927775,BTCUSDT,161361,10251.20292,26307.76506867922,25802.604931320777,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-22 20:00:00,26056.0,26070.04,4h,25300.0,25780.0,272639005.3652591,BTCUSDT,164629,10601.90553,26307.84793461358,25802.68873205308,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-23 00:00:00,26006.32,26187.99,4h,25990.15,26055.99,123499418.4135188,BTCUSDT,81021,4736.45838,26306.68223117965,25807.088602153686,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-23 04:00:00,26057.13,26183.91,4h,25976.72,26006.32,132063384.7154225,BTCUSDT,80820,5066.45045,26301.773806210178,25823.59202712316,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-23 08:00:00,25939.49,26096.0,4h,25902.62,26057.12,96071966.3107659,BTCUSDT,75654,3695.73713,26297.165014034676,25831.484985965326,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-23 12:00:00,26144.0,26185.0,4h,25812.82,25939.49,213858004.16446352,BTCUSDT,128883,8219.23356,26284.52763888944,25838.121527777228,26438.288538728524,1,26438.288538728524,25552.98118656531
2023-08-23 16:00:00,26632.0,26819.27,4h,26127.24,26143.99,407097919.3770906,BTCUSDT,194780,15370.84219,26444.046112144526,25720.801387855478,25662.990341552642,-1,26438.288538728524,25662.990341552642
2023-08-23 20:00:00,26432.72,26723.99,4h,26222.43,26632.01,183735558.94114968,BTCUSDT,112553,6934.97807,26498.08777753027,25694.485555803065,25788.79882447501,-1,27275.921175524993,25788.79882447501
2023-08-24 00:00:00,26442.01,26547.89,4h,26345.76,26432.71,107982794.6768388,BTCUSDT,70491,4085.62274,26547.718841527898,25672.918658472106,25788.79882447501,-1,27146.302866748738,25788.79882447501
2023-08-24 04:00:00,26477.38,26516.0,4h,26384.0,26442.01,95107757.9728685,BTCUSDT,66027,3595.17305,26600.4863133386,25652.562853328065,25788.79882447501,-1,27142.912723411304,25788.79882447501
